X1,X2,X3,X4,X5,X6
14,0.83924,0,-0.5,0.049358,126.59
2,0.96433,0,-0.5,0.064221,64.615
4,0.92759,0,-0.5,0.082798,50.354
6,0.90178,0,-0.5,0.070677,70.96
8,0.89654,0,-0.5,0.055833,99.537
10,0.84913,0,-0.5,0.062325,67.26
12,0.84997,0,-0.5,0.052731,104.06
14,0.84799,0,-0.5,0.046158,133.83
2,0.9622,0,-0.5,0.068052,63.297
4,0.9355,0,-0.5,0.074605,56.734
6,0.90293,0,-0.5,0.070536,74.898
8,0.88981,0,-0.5,0.059195,100.22
10,0.85661,0,-0.5,0.057159,88.324
12,0.85722,0,-0.5,0.04839,84.014
14,0.85225,0,-0.5,0.044034,135.35
2,0.96594,0,-0.5,0.061335,69.325
4,0.94354,0,-0.5,0.065281,78.943
6,0.90723,0,-0.5,0.066475,79.084
8,0.91328,0,-0.5,0.047914,129.81
10,0.86874,0,-0.5,0.052639,93.61
12,0.90761,0,-0.5,0.03162,222.11
14,0.86992,0,-0.5,0.038298,142.12
2,0.96132,0,-0.5,0.069877,54.807
4,0.93472,0,-0.5,0.075361,53.923
6,0.91528,0,-0.5,0.0621,83.112
8,0.89535,0,-0.5,0.056819,87.559
10,0.87893,0,-0.5,0.049338,134.12
12,0.87584,0,-0.5,0.042554,133.49
14,0.87853,0,-0.5,0.035699,266.9
2,0.96999,0,-0.5,0.055013,77.329
4,0.96238,0,-0.5,0.042951,138.56
6,0.89136,0,-0.5,0.078539,64.479
8,0.90207,0,-0.5,0.055872,102.28
10,0.88958,0,-0.5,0.044974,144.65
12,0.88614,0,-0.5,0.039769,142.65
14,0.88697,0,-0.5,0.034032,279.74
2,0.95671,0,-0.5,0.078518,49.008
4,0.94875,0,-0.5,0.058953,79.061
6,0.90032,0,-0.5,0.07153,63.045
8,0.8997,0,-0.5,0.054579,99.166
10,0.89778,0,-0.5,0.041885,147.65
12,0.89845,0,-0.5,0.03456,212.44
14,0.89225,0,-0.5,0.032344,240.51
2,0.9577,0,-0.5,0.075578,56.967
4,0.9356,0,-0.5,0.074264,65.384
6,0.90873,0,-0.5,0.06649,69.201
8,0.9087,0,-0.5,0.050695,133.83
10,0.90638,0,-0.5,0.038519,183.18
12,0.90653,0,-0.5,0.032214,264.25
14,0.90919,0,-0.5,0.02739,312.63
